snapped_at,price,market_cap,total_volume
2021-05-20 00:00:00 UTC,21.113525953840444,45761198.980848804,41926.92391701137
2021-05-21 00:00:00 UTC,15.606808654264096,33549120.663400013,17257.40286906943
2021-05-22 00:00:00 UTC,17.362000387839327,37224331.59969932,15387.488553773097
2021-05-23 00:00:00 UTC,18.181507756127722,39561684.31397838,32352.082771705165
2021-05-24 00:00:00 UTC,14.546513940052932,32726749.334370486,10179.319595775409
2021-05-25 00:00:00 UTC,17.522522944523054,39423330.527254894,7471.4093498506545
2021-05-26 00:00:00 UTC,15.309840075449102,32956156.870646562,9342.072900951342
2021-05-27 00:00:00 UTC,17.137841252655868,41699201.5059202,40560.97308043013
2021-05-28 00:00:00 UTC,18.241905399675208,39427928.85954485,44217.9693677133
2021-05-29 00:00:00 UTC,15.891070981598611,34160184.16338076,6984.728174994577
2021-05-30 00:00:00 UTC,15.519192603389579,34352842.1664329,6325.1536354019945
2021-05-31 00:00:00 UTC,18.22852832525676,38644995.93993639,20704.468578363598
2021-06-01 00:00:00 UTC,18.72150365135745,40815602.23175728,4380.730858619833
2021-06-02 00:00:00 UTC,18.22934800442519,39186653.04123371,3884.5828514958957
2021-06-03 00:00:00 UTC,19.95078048020586,42568999.83414809,5358.902637162353
2021-06-04 00:00:00 UTC,19.516615042126574,42530148.3440036,33410.7679909603
2021-06-05 00:00:00 UTC,16.741335741249173,35986042.90390576,7689.738068183924
2021-06-06 00:00:00 UTC,25.974129066636973,55696110.80796553,9602.531670011345
2021-06-07 00:00:00 UTC,19.826342068846415,42648379.11423327,21572.73194915592
2021-06-08 00:00:00 UTC,19.434299281495893,41776872.2643622,4082.211208865544
2021-06-09 00:00:00 UTC,19.57526285094513,42305760.48406052,16214.508372513897
2021-06-10 00:00:00 UTC,26.38359861406986,56452595.92933718,18058.24145017137
2021-06-11 00:00:00 UTC,26.75234846990148,57496583.59305188,22391.457998882062
2021-06-12 00:00:00 UTC,16.975745186444527,36523391.28331254,15070.522050639827
2021-06-13 00:00:00 UTC,24.27903726339174,52255070.864927545,19238.269998551168
2021-06-14 00:00:00 UTC,27.14965825652444,58362166.21835437,37536.76458387608
2021-06-15 00:00:00 UTC,25.893894613502642,55662718.373651125,11119.607735367223
2021-06-16 00:00:00 UTC,29.444590302857936,63295458.721797094,116423.18593577662
2021-06-17 00:00:00 UTC,27.469558610149143,59166562.965071544,22921.791456695533
2021-06-18 00:00:00 UTC,24.742795063689115,53177589.98093471,10188.217386560113
2021-06-19 00:00:00 UTC,23.685628717469204,50850754.378588215,7903.979812495053
2021-06-20 00:00:00 UTC,21.657726409014458,46580009.25570567,3024.896062506494
2021-06-21 00:00:00 UTC,23.041493032680606,49519818.89548288,5772.945059863096
2021-06-22 00:00:00 UTC,18.19379417325345,38932249.73375492,5674.046738103415
2021-06-23 00:00:00 UTC,19.155582422247846,41117572.55222806,3812.866861514007
2021-06-24 00:00:00 UTC,19.788621265220225,42471757.41249667,2019.0440059990215
2021-06-25 00:00:00 UTC,17.675523534090456,38044712.01695546,5288.380860912028
2021-06-26 00:00:00 UTC,19.961275687200327,42553055.97185758,44628.19522378814
2021-06-27 00:00:00 UTC,20.029800389796396,42539472.63120431,14419.415820807179
2021-06-28 00:00:00 UTC,19.73354329698046,43768391.539132595,10732.86556325653
2021-06-29 00:00:00 UTC,19.579675136454288,44898553.93984085,3829.5055268323586
2021-06-30 00:00:00 UTC,20.872684601049112,45584073.784294195,17274.928524614865
2021-07-01 00:00:00 UTC,21.508606959083885,46235900.37895389,5080.136742766401
2021-07-02 00:00:00 UTC,18.32759002835513,39946250.37824087,9194.972625224891
2021-07-03 00:00:00 UTC,18.991368516603316,38659422.388099715,21766.66775005172
2021-07-04 00:00:00 UTC,23.50424775421809,50440938.483513474,35726.53537526741
2021-07-05 00:00:00 UTC,23.272275434936933,55964178.121177115,2405.4945670028787
2021-07-06 00:00:00 UTC,23.392453568754544,50285504.53693849,5480.75619709647
2021-07-07 00:00:00 UTC,21.9536835274351,47192657.63963751,4444.182897919356
2021-07-08 00:00:00 UTC,18.608636766500798,40160900.15280122,8612.263209284542
2021-07-09 00:00:00 UTC,20.57430740248636,44044166.029851414,1889.682239703944
2021-07-10 00:00:00 UTC,16.310264265949925,35061301.51475848,8013.988330900709
2021-07-11 00:00:00 UTC,16.12222283634745,33202802.546576332,11.430655990970344
2021-07-12 00:00:00 UTC,17.840652570269683,38525788.85718999,3117.154781353362
2021-07-13 00:00:00 UTC,17.840652570269683,38525788.85718999,3117.154781353362
2021-07-14 00:00:00 UTC,14.391417216427667,31149527.94281279,1882.749501586532
2021-07-15 00:00:00 UTC,14.022982780872772,30072661.43416241,23056.172350649456
2021-07-16 00:00:00 UTC,11.807819306996205,25382636.73744765,14817.818870200757
2021-07-17 00:00:00 UTC,13.340564498755304,28699053.306372546,3111.1868869746763
2021-07-18 00:00:00 UTC,13.575773320426274,29183112.78850131,2979.472274122291
2021-07-19 00:00:00 UTC,12.261458300050384,26357800.183911752,2160.168903222416
2021-07-20 00:00:00 UTC,13.35505998019588,28090520.94493426,4425.354382807166
2021-07-21 00:00:00 UTC,13.819709996546852,29481239.71686922,3786.4272364556773
2021-07-22 00:00:00 UTC,13.411267688272487,28877690.26744334,68.57816265895876
2021-07-23 00:00:00 UTC,13.087552162062991,28133609.91349301,553.7516070281732
2021-07-24 00:00:00 UTC,14.276156876900295,30987245.651849207,407.49533370026757
2021-07-25 00:00:00 UTC,14.410005086401886,31775742.353293348,637.9242590933034
2021-07-26 00:00:00 UTC,15.494540542719019,33244744.833179172,1556.7837364542918
2021-07-27 00:00:00 UTC,16.464139620492478,37423296.11999873,816.61868224325
2021-07-28 00:00:00 UTC,17.22284601813567,37023029.62955352,2566.2365080234576
2021-07-29 00:00:00 UTC,17.196618715178708,37105088.45567084,27094.62815065011
2021-07-30 00:00:00 UTC,16.43534003844639,35330170.20383575,8164.675887966119
2021-07-31 00:00:00 UTC,16.858130176048547,36239019.517999336,2210.4289194612547
2021-08-01 00:00:00 UTC,17.544186324088596,37650857.39447952,534.1570683889582
2021-08-02 00:00:00 UTC,17.711639877562828,38416148.1631302,3251.536567929324
2021-08-03 00:00:00 UTC,16.739088695960863,35875206.345679455,6574.91144195813
2021-08-04 00:00:00 UTC,20.074682561259667,35887277.88384318,753.5835086671267
2021-08-05 00:00:00 UTC,18.5171935119773,39805419.1118131,17649.05932458907
2021-08-06 00:00:00 UTC,18.12218099872231,41406417.58761443,1604.4935276969018
2021-08-07 00:00:00 UTC,19.27620226022787,41640213.48934249,8634.629278302098
2021-08-08 00:00:00 UTC,17.33616045931772,37196330.54036786,10415.88552217416
2021-08-09 00:00:00 UTC,16.814172460437728,35655726.52195042,1977.301619623836
2021-08-10 00:00:00 UTC,17.64542931333655,39424368.24321014,5403.420727990464
2021-08-11 00:00:00 UTC,18.460871425480796,37598631.946222395,1317.5369811039363
2021-08-12 00:00:00 UTC,16.800625118147078,36258222.22822998,71.99235869377205
2021-08-13 00:00:00 UTC,13.90353463933506,29421977.85540636,1802.4171950305677
2021-08-14 00:00:00 UTC,22.00145172278136,44760514.45167329,2440.59903001718
2021-08-15 00:00:00 UTC,19.180700292812745,42432060.2364681,698.4433571974652
2021-08-16 00:00:00 UTC,20.12559654274265,42051255.70428808,9550.881700831967
2021-08-17 00:00:00 UTC,18.528740855745724,38165406.39846878,5289.831288653537
2021-08-18 00:00:00 UTC,18.374888833456087,36308815.96912256,1145.0630272709982
2021-08-19 00:00:00 UTC,16.09913520735839,39006993.88152096,3853.741518519877
2021-08-20 00:00:00 UTC,19.373329544377732,41205000.30924171,25137.759373500758
2021-08-21 00:00:00 UTC,20.598686067472475,40487831.822099924,1674.3703766003205
2021-08-22 00:00:00 UTC,19.06138378242338,40282668.44763119,7151.422791824401
2021-08-23 00:00:00 UTC,18.84751366386174,40515490.650371745,9609.90972637929
2021-08-24 00:00:00 UTC,20.637707401812,44363774.246066816,3383.897480652121
2021-08-25 00:00:00 UTC,19.671459353191597,42152236.54906755,2653.935441463905
2021-08-26 00:00:00 UTC,20.99260214788446,45241313.23229917,4381.967899504507
2021-08-27 00:00:00 UTC,20.529674369113888,44131541.42192492,6032.668381507214
2021-08-28 00:00:00 UTC,21.693072646408,45096639.66389984,2346.5741670152115
2021-08-29 00:00:00 UTC,17.211022078289076,40973909.252158195,9470.378625509758
2021-08-30 00:00:00 UTC,16.82779539652611,36310395.26343525,92.55287468089361
2021-08-31 00:00:00 UTC,17.554343263258296,38123642.730518304,2550.2610804991764
2021-09-01 00:00:00 UTC,17.646470632220336,37933672.773117006,56.46870602310507
2021-09-02 00:00:00 UTC,1.0239229664654485e-35,37933672.773117006,0.0
2021-09-03 00:00:00 UTC,1.0239229664654485e-35,37933672.773117006,0.0
2021-09-04 00:00:00 UTC,1.0239229664654485e-35,37933672.773117006,0.0
2021-09-05 00:00:00 UTC,15.165342874107147,40476526.01831179,412.71499639476053
2021-09-06 00:00:00 UTC,21.32580473926309,43830918.551279776,1549.2128669770086
2021-09-07 00:00:00 UTC,24.47377756195697,51359816.74913171,1503.2616050135769
2021-09-08 00:00:00 UTC,15.225850539887574,32520409.974909548,2065.248070495836
2021-09-09 00:00:00 UTC,23.22935739968654,49932572.17181217,187.27043348479293
2021-09-10 00:00:00 UTC,16.607133111705316,35615962.3281172,22172.91764340106
2021-09-11 00:00:00 UTC,19.72682767416582,42405704.88226403,1534.0980830006881
2021-09-12 00:00:00 UTC,15.71045712028379,42405704.88226403,147.8196910447502
2021-09-13 00:00:00 UTC,21.924935430219957,41003622.35675463,11458.846060756614
2021-09-14 00:00:00 UTC,19.150100345293755,40241017.20213958,10475.922598160427
2021-09-15 00:00:00 UTC,15.612937241864548,33286885.2244266,3122.58744837291
2021-09-16 00:00:00 UTC,17.86760833314143,38310253.64802721,121.30319297369718
2021-09-17 00:00:00 UTC,19.397040834601743,81852638.15990321,13670.491972733076
2021-09-18 00:00:00 UTC,22.68955232214734,48774515.374497764,854.7979645609918
2021-09-19 00:00:00 UTC,23.755544743424107,47724809.71982301,17562.822231217928
2021-09-20 00:00:00 UTC,24.16754224125463,51951671.14246263,25552.601920826335
2021-09-21 00:00:00 UTC,23.384711761244887,51301711.22705066,6541.497878053713
2021-09-22 00:00:00 UTC,23.597148101158986,43685840.90038679,228.8999396758366
2021-09-23 00:00:00 UTC,24.819871970379857,51828306.78379612,3147.1316871665263
2021-09-24 00:00:00 UTC,22.30846968735252,47987304.76149259,18102.412348997514
2021-09-25 00:00:00 UTC,22.444552609507546,47086120.16435893,5342.705747990542
2021-09-26 00:00:00 UTC,19.738937771281297,46602590.492386885,2629.195951934358
2021-09-27 00:00:00 UTC,32.57530647479374,53185395.117652014,11788.898519825376
2021-09-28 00:00:00 UTC,22.733472470094352,48388181.06585455,3309.334944509281
2021-09-29 00:00:00 UTC,18.466530256221144,39644089.10822851,30062.535269894062
2021-09-30 00:00:00 UTC,17.914677382320985,38682970.666471474,7558.8288786548355
2021-10-01 00:00:00 UTC,21.974630499159538,40082834.157103546,48.34418709815098
2021-10-02 00:00:00 UTC,24.527382258424158,46691265.68472474,1530.8719462153183
2021-10-03 00:00:00 UTC,21.31298501757728,45815382.36880834,3153.7395406141422
2021-10-04 00:00:00 UTC,20.140694549061976,45050038.61876312,5215.396738889576
2021-10-05 00:00:00 UTC,22.854652170856497,49129421.676519945,2593.711867647522
2021-10-06 00:00:00 UTC,25.25047618081731,54279596.23039873,14012.952812769703
2021-10-07 00:00:00 UTC,25.660035676072983,56051649.358071044,3678.463771592872
2021-10-08 00:00:00 UTC,26.917279505114813,55668835.155776896,1879.924221593489
2021-10-09 00:00:00 UTC,24.733455210313412,52296543.412122004,3779.8551396799617
2021-10-10 00:00:00 UTC,19.864241030808667,42539441.22424797,15701.418082187674
2021-10-11 00:00:00 UTC,20.94667306364272,41340959.03051825,8600.816536351369
2021-10-12 00:00:00 UTC,22.441826693187995,47424525.183897056,2238.7453879845993
2021-10-13 00:00:00 UTC,14.021054138320517,30349473.878927127,26949.571732910317
2021-10-14 00:00:00 UTC,21.52672421391182,46270687.80811915,20012.924353220213
2021-10-15 00:00:00 UTC,22.4122632962723,47775592.77087886,5740.1248827185445
2021-10-16 00:00:00 UTC,22.18720261072357,47809837.21890794,7523.572937188374
2021-10-17 00:00:00 UTC,24.196798021018015,52142731.26018404,6618.606731903497
2021-10-18 00:00:00 UTC,19.693973721356855,42229386.71432271,12736.79309908481
2021-10-19 00:00:00 UTC,23.405589681378824,50091137.36278995,12990.08677778316
2021-10-20 00:00:00 UTC,19.213672359241542,41302602.38636998,3366.1058770557097
2021-10-21 00:00:00 UTC,24.920466187812387,52264423.94067853,30233.480152626777
2021-10-22 00:00:00 UTC,24.545984105889147,52362144.08643722,8367.096099619914
2021-10-23 00:00:00 UTC,24.27456743896633,52048684.42763432,9665.60811648842
2021-10-24 00:00:00 UTC,25.21080454068026,53060095.55116316,5746.384002961388
2021-10-25 00:00:00 UTC,26.525318856150214,57020057.248988174,17129.624498715395
2021-10-26 00:00:00 UTC,30.9461384690964,65720212.22293876,3410.600414601584
2021-10-27 00:00:00 UTC,25.450307225503195,56534122.69486576,13671.709587997244
